count_date,fish_count
"Jun 02, 2024",2.16
"Jun 05, 2024",2.05
"Jun 06, 2024",2.16
"Jun 07, 2024",2.13
"Jul 01, 2024",5
"07/02/2024",0
"07/03/2024",6
07/04/2024,22
07/05/2024,0
07/06/2024,0
07/07/2024,0
07/08/2024,19
07/09/2024,65
07/10/2024,101
07/11/2024,315
07/12/2024,404
07/13/2024,345
07/14/2024,3018
07/15/2024,3413
07/16/2024,3922
07/17/2024,370
07/18/2024,1175
07/19/2024,1510
07/20/2024,257
07/21/2024,1345
07/22/2024,139
07/23/2024,32
07/24/2024,18
07/25/2024,311
07/26/2024,963
07/27/2024,2226
07/28/2024,1490
07/29/2024,2577
07/30/2024,5719
07/31/2024,2133
08/01/2024,2325
08/02/2024,378
08/03/2024,704
08/04/2024,508
08/05/2024,1266
08/06/2024,677
08/07/2024,44
08/08/2024,18
08/09/2024,9
08/10/2024,0
08/11/2024,5
08/12/2024,15
08/13/2024,10
08/14/2024,65
08/15/2024,18
08/16/2024,0
08/17/2024,2
08/18/2024,1
08/19/2024,3
08/20/2024,0
08/21/2024,0
08/22/2024,0
08/23/2024,0
08/24/2024,0
08/25/2024,0
08/26/2024,0
08/27/2024,0
08/28/2024,0
08/29/2024,0
08/30/2024,0
08/31/2024,0
09/01/2024,0
09/02/2024,0
09/03/2024,0
07/03/2023,0
07/04/2023,0
07/05/2023,0
07/06/2023,0
07/07/2023,316
07/08/2023,180
07/09/2023,593
07/10/2023,0
07/11/2023,0
07/12/2023,810
07/13/2023,1313
07/14/2023,395
07/15/2023,163
07/16/2023,737
07/17/2023,1578
07/18/2023,2097
07/19/2023,3413
07/20/2023,3585
07/21/2023,4075
07/22/2023,1490
07/23/2023,1049
07/24/2023,1186
07/25/2023,1896
07/26/2023,1816
07/27/2023,2035
07/28/2023,1329
07/29/2023,2066
07/30/2023,3612
07/31/2023,551
08/01/2023,548
08/02/2023,91
08/03/2023,805
08/04/2023,1100
08/05/2023,1176
08/06/2023,401
08/07/2023,745
08/08/2023,523
08/09/2023,509
08/10/2023,212
08/11/2023,279
08/12/2023,176
08/13/2023,205
08/14/2023,89
08/15/2023,51
08/16/2023,97
08/17/2023,186
08/18/2023,186
08/19/2023,51
08/20/2023,46
08/21/2023,112
08/22/2023,115
08/23/2023,221
08/24/2023,94
08/25/2023,129
08/26/2023,130
08/27/2023,47
08/28/2023,40
08/29/2023,19
08/30/2023,29
08/31/2023,14
09/01/2023,25
09/02/2023,15
09/03/2023,0
09/04/2023,10
09/05/2023,0
09/06/2023,2
09/08/2023,1
09/09/2023,0
09/10/2023,0
09/11/2023,0
09/12/2023,0
07/05/2022,3
07/06/2022,0
07/07/2022,98
07/08/2022,2
07/09/2022,125
07/10/2022,12
07/11/2022,337
07/12/2022,102
07/13/2022,1948
07/14/2022,2963
07/15/2022,1024
07/16/2022,2423
07/17/2022,3109
07/18/2022,5474
07/19/2022,4220
07/20/2022,3291
07/21/2022,1707
07/22/2022,2043
07/23/2022,2520
07/24/2022,932
07/25/2022,629
07/26/2022,12032
07/27/2022,6674
07/28/2022,3683
07/29/2022,3000